vCrop,climate,CAPRI_NUTSII,nuts2,RCP,CO2_level,representative.median
Barley,isimip_clim,CZ040000,CZ04,RCP2.6,elev,24.3847894127292
Barley,isimip_clim,CZ040000,CZ04,RCP8.5,amb,4.76717780170372
Barley,isimip_clim,CZ040000,CZ04,RCP4.5,elev,25.0873232740686
Barley,isimip_clim,CZ040000,CZ04,RCP4.5,amb,2.17966904746188
Barley,isimip_clim,CZ050000,CZ05,RCP2.6,elev,24.1843547418454
Barley,isimip_clim,CZ050000,CZ05,RCP4.5,elev,22.305773019442
Barley,isimip_clim,CZ050000,CZ05,RCP8.5,elev,37.0608912538725
Barley,isimip_clim,CZ050000,CZ05,RCP2.6,amb,7.96260628024701
Barley,isimip_clim,CZ050000,CZ05,RCP8.5,amb,1.12509437016762
Barley,isimip_clim,CZ050000,CZ05,RCP4.5,amb,-0.954899849141796
Barley,isimip_clim,CZ050000,CZ05,RCP6.0,elev,24.22497016965
Barley,isimip_clim,CZ050000,CZ05,RCP6.0,amb,1.78197892830544
Barley,isimip_clim,CZ060000,CZ06,RCP8.5,elev,35.8228714282897
Barley,isimip_clim,CZ060000,CZ06,RCP4.5,elev,24.8310807646679
Barley,isimip_clim,CZ060000,CZ06,RCP8.5,amb,1.87252821547989
Barley,isimip_clim,CZ060000,CZ06,RCP6.0,elev,24.6646488830981
Barley,isimip_clim,CZ060000,CZ06,RCP2.6,amb,6.87301548979968
Barley,isimip_clim,CZ060000,CZ06,RCP2.6,elev,21.3111884658986
Barley,isimip_clim,CZ060000,CZ06,RCP4.5,amb,3.3059063351916
Barley,isimip_clim,CZ060000,CZ06,RCP6.0,amb,3.46548357777403
Barley,isimip_clim,CZ070000,CZ07,RCP4.5,elev,24.0063896701765
Barley,isimip_clim,CZ070000,CZ07,RCP8.5,amb,-0.0854502964515118
Barley,isimip_clim,CZ070000,CZ07,RCP2.6,amb,7.23675049694103
Barley,isimip_clim,CZ070000,CZ07,RCP6.0,amb,2.64846934897634
Barley,isimip_clim,CZ070000,CZ07,RCP8.5,elev,34.6113176269399
Barley,isimip_clim,CZ070000,CZ07,RCP6.0,elev,25.158928127139
Barley,isimip_clim,CZ070000,CZ07,RCP2.6,elev,23.0306639471522
Barley,isimip_clim,CZ070000,CZ07,RCP4.5,amb,1.1064675053097
Barley,isimip_clim,CZ080000,CZ08,RCP6.0,elev,23.4961536886676
Barley,isimip_clim,CZ080000,CZ08,RCP2.6,elev,21.7250282860514
Barley,isimip_clim,CZ080000,CZ08,RCP4.5,amb,1.58582356784463
Barley,isimip_clim,CZ080000,CZ08,RCP8.5,elev,32.8988866069608
Barley,isimip_clim,CZ080000,CZ08,RCP4.5,elev,23.3544410755255
Barley,isimip_clim,CZ080000,CZ08,RCP2.6,amb,6.68893137493042
Barley,isimip_clim,CZ080000,CZ08,RCP6.0,amb,2.19760487332713
Barley,isimip_clim,CZ080000,CZ08,RCP8.5,amb,0.119078098376312
Barley,isimip_clim,DE110000,DE11,RCP6.0,elev,23.1459013309801
Barley,isimip_clim,DE110000,DE11,RCP4.5,amb,2.87312984940497
